"","minpts","eps","eps2","id","f_measure"
"357",15,4.75,120,"AB_2",0.392739273927393
"358",20,4.75,120,"AB_2",0.0948275862068965
"359",25,4.75,120,"AB_2",0
"360",30,4.75,120,"AB_2",0
"361",5,1,150,"AB_2",0.225742574257426
"362",10,1,150,"AB_2",0.0442477876106195
"363",15,1,150,"AB_2",0
"364",20,1,150,"AB_2",0
"365",25,1,150,"AB_2",0
"366",30,1,150,"AB_2",0
"367",5,1.75,150,"AB_2",0.420740740740741
"368",10,1.75,150,"AB_2",0.103004291845494
"369",15,1.75,150,"AB_2",0
"370",20,1.75,150,"AB_2",0
"371",25,1.75,150,"AB_2",0
"372",30,1.75,150,"AB_2",0
"373",5,2.5,150,"AB_2",0.427480916030534
"374",10,2.5,150,"AB_2",0.303939962476548
"375",15,2.5,150,"AB_2",0.0656455142231947
"376",20,2.5,150,"AB_2",0
"377",25,2.5,150,"AB_2",0
"378",30,2.5,150,"AB_2",0
"379",5,3.25,150,"AB_2",0.415547703180212
"380",10,3.25,150,"AB_2",0.394736842105263
"381",15,3.25,150,"AB_2",0.0740740740740741
"382",20,3.25,150,"AB_2",0
"383",25,3.25,150,"AB_2",0
"384",30,3.25,150,"AB_2",0
"385",5,4,150,"AB_2",0.403454657618754
"386",10,4,150,"AB_2",0.426592797783933
"387",15,4,150,"AB_2",0.356877323420074
"388",20,4,150,"AB_2",0
"389",25,4,150,"AB_2",0
"390",30,4,150,"AB_2",0
"391",5,4.75,150,"AB_2",0.411694510739857
"392",10,4.75,150,"AB_2",0.527042577675489
"393",15,4.75,150,"AB_2",0.392739273927393
"394",20,4.75,150,"AB_2",0.0948275862068965
"395",25,4.75,150,"AB_2",0
"396",30,4.75,150,"AB_2",0
"397",5,1,180,"AB_2",0.225742574257426
"398",10,1,180,"AB_2",0.0442477876106195
"399",15,1,180,"AB_2",0
"400",20,1,180,"AB_2",0
"401",25,1,180,"AB_2",0
"402",30,1,180,"AB_2",0
"403",5,1.75,180,"AB_2",0.423076923076923
"404",10,1.75,180,"AB_2",0.103004291845494
"405",15,1.75,180,"AB_2",0
"406",20,1.75,180,"AB_2",0
"407",25,1.75,180,"AB_2",0
"408",30,1.75,180,"AB_2",0
"409",5,2.5,180,"AB_2",0.429193899782135
"410",10,2.5,180,"AB_2",0.303939962476548
"411",15,2.5,180,"AB_2",0.0656455142231947
"412",20,2.5,180,"AB_2",0
"413",25,2.5,180,"AB_2",0
"414",30,2.5,180,"AB_2",0
"415",5,3.25,180,"AB_2",0.417784050811574
"416",10,3.25,180,"AB_2",0.394736842105263
"417",15,3.25,180,"AB_2",0.0740740740740741
"418",20,3.25,180,"AB_2",0
"419",25,3.25,180,"AB_2",0
"420",30,3.25,180,"AB_2",0
"421",5,4,180,"AB_2",0.403454657618754
"422",10,4,180,"AB_2",0.426592797783933
"423",15,4,180,"AB_2",0.356877323420074
